match_id,kills,damage,placement,survival_time,headshots,win
1,2.0,185.0,23.0,12.0,0.0,0
2,5.0,640.0,7.0,24.0,2.0,0
3,0.0,35.0,89.0,3.0,0.0,0
4,7.0,890.0,2.0,28.0,3.0,0
5,3.0,310.0,14.0,19.0,1.0,0
6,12.0,1450.0,1.0,31.0,4.75,1
7,1.0,95.0,44.0,8.0,0.0,0
8,,420.0,16.0,21.0,1.0,0
9,4.0,380.0,11.0,18.0,2.0,0
10,2.0,210.0,25.0,13.0,,0
11,6.0,720.0,5.0,26.0,3.0,0
12,3.0,290.0,19.0,17.0,1.0,0
13,9.0,1100.0,3.0,29.0,4.0,0
14,0.0,0.0,95.0,2.0,0.0,0
15,12.0,1493.75,1.0,32.0,4.75,1
16,2.0,180.0,31.0,10.0,1.0,0
17,5.0,500.0,9.0,23.0,2.0,0
18,3.0,350.0,,20.0,1.0,0
19,4.0,410.0,12.0,21.0,2.0,0
20,8.0,950.0,4.0,27.0,3.0,0
21,2.0,160.0,33.0,11.0,0.0,0
22,1.0,80.0,56.0,7.0,0.0,0
23,6.0,700.0,6.0,25.0,2.0,0
24,3.0,310.0,17.0,18.0,1.0,0
25,12.0,1493.75,1.0,33.0,4.75,1
26,0.0,120.0,40.0,9.0,0.0,0
27,4.0,390.0,13.0,20.0,2.0,0
28,2.0,200.0,28.0,15.0,1.0,0
29,7.0,850.0,5.0,26.0,3.0,0
30,3.0,,18.0,19.0,1.0,0
31,5.0,610.0,10.0,24.0,2.0,0
32,2.0,190.0,27.0,14.0,1.0,0
33,0.0,25.0,92.0,3.0,0.0,0
34,6.0,740.0,6.0,25.0,3.0,0
35,4.0,430.0,12.0,21.0,2.0,0
36,3.0,320.0,20.0,18.0,1.0,0
37,10.0,1300.0,2.0,30.0,4.75,0
38,1.0,75.0,60.0,6.0,0.0,0
39,2.0,210.0,29.0,15.0,1.0,0
40,5.0,650.0,8.0,24.0,2.0,0
