match_id,kills,damage,placement,survival_time,headshots,win
1,2,185,23,12,0,0
2,5,640,7,24,2,0
3,0,35,89,3,0,0
4,7,890,2,28,3,0
5,3,310,14,19,1,0
6,12,1450,1,31,6,1
7,1,95,44,8,0,0
8,,420,16,21,1,0
9,4,380,11,18,2,0
10,2,210,25,13,,0
11,6,720,5,26,3,0
12,3,290,19,17,1,0
13,9,1100,3,29,4,0
14,0,0,95,2,0,0
15,15,2200,1,32,7,1
16,2,180,31,10,1,0
17,5,500,9,23,2,0
18,3,350,,20,1,0
19,4,410,12,21,2,0
20,8,950,4,27,3,0
21,2,160,33,11,0,0
22,1,80,56,7,0,0
23,6,700,6,25,2,0
24,3,310,17,18,1,0
25,999,5000,1,33,12,1
26,-1,120,40,9,0,0
27,4,390,13,20,2,0
28,2,200,28,15,1,0
29,7,850,5,26,3,0
30,3,,18,19,1,0
31,5,610,10,24,2,0
32,2,190,27,14,1,0
33,0,25,92,3,0,0
34,6,740,6,25,3,0
35,4,430,12,21,2,0
36,3,320,20,18,1,0
37,10,1300,2,30,5,0
38,1,75,60,6,0,0
39,2,210,29,15,1,0
40,5,650,8,24,2,0
